filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,1,1,1.0,0.8181818181818182,0.9,1.0,1.0,1.0,1.0,1.0
buggy_2.sol,warmup,1,1,1.0,0.8108108108108109,0.8955223880597014,1.0,1.0,1.0,1.0,1.0
buggy_3.sol,warmup,1,1,1.0,0.8076923076923077,0.8936170212765957,1.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9906542056074766
buggy_4.sol,warmup,1,1,1.0,0.8181818181818182,0.9,1.0,1.0,1.0,1.0,1.0
buggy_5.sol,warmup,1,1,0.9893617021276596,0.7948717948717948,0.8815165876777251,0.9893617021276596,0.96875,1.0,0.9841269841269841,0.9973045822102425
buggy_6.sol,eval,1,1,1.0,0.7964601769911505,0.8866995073891626,1.0,1.0,1.0,1.0,1.0
buggy_7.sol,eval,1,1,0.96875,0.788135593220339,0.8691588785046729,0.96875,0.96875,1.0,0.9841269841269841,0.9965034965034965
buggy_8.sol,eval,1,1,0.9893617021276596,0.7948717948717948,0.8815165876777251,0.9893617021276596,0.96875,1.0,0.9841269841269841,0.9973045822102425
buggy_9.sol,eval,1,1,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,1.0
buggy_10.sol,eval,1,1,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,1.0
buggy_11.sol,eval,1,1,1.0,0.7948717948717948,0.8857142857142858,1.0,1.0,1.0,1.0,1.0
buggy_12.sol,eval,1,1,0.990990990990991,0.7971014492753623,0.8835341365461846,0.990990990990991,0.972972972972973,0.972972972972973,0.972972972972973,0.9952718676122931
buggy_13.sol,eval,1,1,1.0,0.8225806451612904,0.9026548672566371,1.0,1.0,1.0,1.0,1.0
buggy_14.sol,eval,1,1,1.0,0.8048780487804879,0.8918918918918919,1.0,1.0,1.0,1.0,1.0
buggy_15.sol,eval,1,1,1.0,0.8225806451612904,0.9026548672566371,1.0,1.0,1.0,1.0,1.0
buggy_16.sol,eval,1,1,1.0,0.78,0.8764044943820225,1.0,1.0,0.975,0.9873417721518987,0.9975369458128078
buggy_17.sol,eval,1,1,0.9777777777777777,0.7787610619469026,0.8669950738916256,0.9777777777777777,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9875776397515528
buggy_18.sol,eval,1,1,0.9833333333333333,0.7972972972972973,0.8805970149253731,0.9833333333333333,0.95,0.95,0.9500000000000001,0.9928571428571429
buggy_19.sol,eval,1,1,1.0,0.7924528301886793,0.8842105263157896,1.0,1.0,1.0,1.0,1.0
buggy_20.sol,eval,1,1,0.946236559139785,0.7457627118644068,0.8341232227488151,0.946236559139785,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.9766899766899767
buggy_21.sol,eval,1,1,1.0,0.7647058823529411,0.8666666666666666,1.0,1.0,0.9629629629629629,0.9811320754716981,0.9978021978021978
buggy_22.sol,eval,1,1,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,1.0
buggy_23.sol,eval,1,1,0.9629629629629629,0.7959183673469388,0.871508379888268,0.9629629629629629,0.9259259259259259,0.9615384615384616,0.9433962264150944,0.9936440677966102
buggy_24.sol,eval,1,1,1.0,0.78,0.8764044943820225,1.0,1.0,0.975,0.9873417721518987,0.9988851727982163
buggy_25.sol,eval,1,1,1.0,0.8076923076923077,0.8936170212765957,1.0,1.0,1.0,1.0,1.0
